id,identifier,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,meta_category_id,meta_ailment_id,min_hits,max_hits,min_turns,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance
611,Infestation,7,20,20,100,0,10,3,43,100,4,8,,,5,6,0,0,0,100,0,0
612,Power Up Punch,2,40,20,100,0,10,2,375,100,7,0,,,,,0,0,0,0,0,100
613,Oblivion Wing,3,80,10,100,0,10,3,349,,8,0,,,,,75,0,0,0,0,0
614,Thousand Arrows,5,90,10,100,0,11,2,373,100,0,-1,,,,,0,0,0,100,0,0
615,Thousand Waves,5,90,10,100,0,11,2,374,,0,0,,,,,0,0,0,0,0,0
616,Lands Wrath,5,90,10,100,0,11,2,1,,0,0,,,,,0,0,0,0,0,0
617,Light Of Ruin,18,140,5,90,0,10,3,270,,0,0,,,,,-50,0,0,0,0,0
618,Origin Pulse,11,110,10,85,0,11,3,1,,0,0,,,,,0,0,0,0,0,0
619,Precipice Blades,5,120,10,85,0,11,2,1,,0,0,,,,,0,0,0,0,0,0
620,Dragon Ascent,3,120,5,100,0,10,2,230,100,7,0,,,,,0,0,0,0,0,100
621,Hyperspace Fury,17,100,5,,0,10,2,360,100,7,0,,,,,0,0,0,0,0,100
622,Breakneck Blitz Physical,1,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
623,Breakneck Blitz Special,1,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
624,All Out Pummeling Physical,2,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
625,All Out Pummeling Special,2,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
626,Supersonic Skystrike Physical,3,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
627,Supersonic Skystrike Special,3,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
628,Acid Downpour Physical,4,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
629,Acid Downpour Special,4,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
630,Tectonic Rage Physical,5,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
631,Tectonic Rage Special,5,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
632,Continental Crush Physical,6,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
633,Continental Crush Special,6,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
634,Savage Spin Out Physical,7,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
635,Savage Spin Out Special,7,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
636,Never Ending Nightm Physic,8,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
637,Never Ending Nightm Special,8,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
638,Corkscrew Crash Physical,9,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
639,Corkscrew Crash Special,9,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
640,Inferno Overdrive Physical,10,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
641,Inferno Overdrive Special,10,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
642,Hydro Vortex Physical,11,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
643,Hydro Vortex Special,11,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
644,Bloom Doom Physical,12,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
645,Bloom Doom Special,12,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
646,Gigavolt Havoc Physical,13,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
647,Gigavolt Havoc Special,13,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
648,Shattered Psyche Physical,14,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
649,Shattered Psyche Special,14,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
650,Subzero Slammer Physical,15,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
651,Subzero Slammer Special,15,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
652,Devastating Drake Physical,16,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
653,Devastating Drake Special,16,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
654,Black Hole Ecli Physical,17,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
655,Black Hole Ecli Special,17,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
656,Twinkle Tackle Physical,18,,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
657,Twinkle Tackle Special,18,,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
658,Catastropika,13,210,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
659,Shore Up,5,,10,,0,7,1,382,,3,0,,,,,0,50,0,0,0,0
660,First Impression,7,90,10,100,2,10,2,383,,0,0,,,,,0,0,0,0,0,0
661,Baneful Bunker,4,,10,,4,7,1,384,,13,0,,,,,0,0,0,0,0,0
662,Spirit Shackle,8,80,10,100,0,10,2,385,,0,0,,,,,0,0,0,0,0,0
663,Darkest Lariat,17,85,10,100,0,10,2,304,,0,0,,,,,0,0,0,0,0,0
664,Sparkling Aria,11,90,10,100,0,9,3,386,,0,0,,,,,0,0,0,0,0,0
665,Ice Hammer,15,100,10,90,0,10,2,219,100,7,0,,,,,0,0,0,0,0,100
666,Floral Healing,18,,10,,0,10,1,387,,3,0,,,,,0,50,0,0,0,0
667,High Horsepower,5,95,10,95,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
668,Strength Sap,12,,10,100,0,10,1,388,100,13,0,,,,,0,0,0,0,0,100
669,Solar Blade,12,125,10,100,0,10,2,152,,0,0,,,,,0,0,0,0,0,0
670,Leafage,12,40,40,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
671,Spotlight,1,,15,,3,10,1,389,,13,0,,,,,0,0,0,0,0,0
672,Toxic Thread,4,,20,100,0,10,1,390,100,5,5,,,,,0,0,0,100,0,100
673,Laser Focus,1,,30,,0,7,1,391,,13,0,,,,,0,0,0,0,0,0
674,Gear Up,9,,20,,0,13,1,392,,2,0,,,,,0,0,0,0,0,0
675,Throat Chop,17,80,15,100,0,10,2,393,100,4,24,,,2,2,0,0,0,100,0,0
676,Pollen Puff,7,90,15,100,0,10,3,394,,0,0,,,,,0,0,0,0,0,0
677,Anchor Shot,9,80,20,100,0,10,2,385,,0,0,,,,,0,0,0,0,0,0
678,Psychic Terrain,14,,10,,0,12,1,395,,10,0,,,,,0,0,0,0,0,0
679,Lunge,7,80,15,100,0,10,2,396,100,6,0,,,,,0,0,0,0,0,100
680,Fire Lash,10,80,15,100,0,10,2,397,100,6,0,,,,,0,0,0,0,0,100
681,Power Trip,17,20,10,100,0,10,2,306,,0,0,,,,,0,0,0,0,0,0
682,Burn Up,10,130,5,100,0,10,3,398,,0,0,,,,,0,0,0,0,0,0
683,Speed Swap,14,,10,,0,10,1,399,,13,0,,,,,0,0,0,0,0,0
684,Smart Strike,9,70,10,,0,10,2,18,,0,0,,,,,0,0,0,0,0,0
685,Purify,4,,20,,0,10,1,400,,13,0,,,,,0,50,0,0,0,0
686,Revelation Dance,1,90,15,100,0,10,3,401,,0,0,,,,,0,0,0,0,0,0
687,Core Enforcer,16,100,10,100,0,11,3,402,,0,0,,,,,0,0,0,0,0,0
688,Trop Kick,12,70,15,100,0,10,2,396,100,6,0,,,,,0,0,0,0,0,100
689,Instruct,14,,15,,0,10,1,403,,13,0,,,,,0,0,0,0,0,0
690,Beak Blast,3,100,15,100,-3,10,2,404,,0,0,,,,,0,0,0,0,0,0
691,Clanging Scales,16,110,5,100,0,11,3,405,100,7,0,,,,,0,0,0,0,0,100
692,Dragon Hammer,16,90,15,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
693,Brutal Swing,17,60,20,100,0,9,2,406,,0,0,,,,,0,0,0,0,0,0
694,Aurora Veil,15,,20,,0,4,1,407,,11,0,,,,,0,0,0,0,0,0
695,Sinister Arrow Raid,8,180,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
696,Malicious Moonsault,17,180,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
697,Oceanic Operetta,11,195,1,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
698,Guardian Of Al,18,,1,,0,10,3,413,,0,0,,,,,0,0,0,0,0,0
699,Soul Stealing 7 Star Strike,8,195,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
700,Stoked Sparksurfer,13,175,1,,0,10,3,7,100,4,1,,,,,0,0,0,100,0,0
701,Pulverizing Pancake,1,210,1,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
702,Extreme Evoboost,1,,1,,0,7,1,414,100,2,0,,,,,0,0,0,0,0,100
703,Genesis Supernova,14,185,1,,0,10,3,415,,0,0,,,,,0,0,0,0,0,0
704,Shell Trap,10,150,5,100,-3,11,3,408,,0,0,,,,,0,0,0,0,0,0
705,Fleur Cannon,18,130,5,90,0,10,3,205,100,7,0,,,,,0,0,0,0,0,100
706,Psychic Fangs,14,85,10,100,0,10,2,187,,0,0,,,,,0,0,0,0,0,0
707,Stomping Tantrum,5,75,10,100,0,10,2,409,,0,0,,,,,0,0,0,0,0,0
708,Shadow Bone,8,85,10,100,0,10,2,70,20,6,0,,,,,0,0,0,0,0,20
709,Accelerock,6,40,20,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
710,Liquidation,11,85,10,100,0,10,2,70,20,6,0,,,,,0,0,0,0,0,20
711,Prismatic Laser,14,160,10,100,0,10,3,81,,0,0,,,,,0,0,0,0,0,0
712,Spectral Thief,8,90,10,100,0,10,2,410,,0,0,,,,,0,0,0,0,0,0
713,Sunsteel Strike,9,100,5,100,0,10,2,411,,0,0,,,,,0,0,0,0,0,0
714,Moongeist Beam,8,100,5,100,0,10,3,411,,0,0,,,,,0,0,0,0,0,0
715,Tearful Look,1,,20,,0,10,1,412,100,2,0,,,,,0,0,0,0,0,100
716,Zing Zap,13,80,10,100,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
717,Natures Madness,18,,10,90,0,10,3,41,,0,0,,,,,0,0,0,0,0,0
718,Multi Attack,1,120,10,100,0,10,2,269,,0,0,,,,,0,0,0,0,0,0
719,10 000 000 Vol Thu,13,195,1,,0,10,3,1,,0,0,,,,,0,0,2,0,0,0
720,Mind Blown,10,150,5,100,0,9,3,420,,0,0,,,,,0,0,0,0,0,0
721,Plasma Fists,13,100,15,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
722,Photon Geyser,14,100,5,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
723,Light That Burn The Sky,14,200,1,,0,10,3,416,,0,0,,,,,0,0,0,0,0,0
724,Searing Sunraze Smash,9,200,1,,0,10,2,411,,0,0,,,,,0,0,0,0,0,0
725,Menacing Moonraze Maelstro,8,200,1,,0,10,3,411,,0,0,,,,,0,0,0,0,0,0
726,Lets Snuggle Forever,18,190,1,,0,10,2,417,,0,0,,,,,0,0,0,0,0,0
727,Splintered Stormshards,6,190,1,,0,10,2,418,,0,0,,,,,0,0,0,0,0,0
728,Clangorous Soulblaze,16,185,1,,0,11,3,419,100,7,0,,,,,0,0,0,0,0,100
729,Zippy Zap,13,80,10,100,2,10,2,1,100,7,0,,,,,0,0,0,0,0,100
730,Splishy Splash,11,90,15,100,0,11,3,1,30,4,1,,,,,0,0,0,30,0,0
731,Floaty Fall,3,90,15,95,0,10,2,1,30,0,0,,,,,0,0,0,0,30,0
732,Pika Papow,13,,20,,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
733,Bouncy Bubble,11,60,20,100,0,10,3,1,,8,0,,,,,100,0,0,0,0,0
734,Buzzy Buzz,13,60,20,100,0,10,3,1,100,4,1,,,,,0,0,0,100,0,0
735,Sizzly Slide,10,60,20,100,0,10,2,1,100,4,4,,,,,0,0,0,100,0,0
736,Glitzy Glow,14,80,15,95,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
737,Baddy Bad,17,80,15,95,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
738,Sappy Seed,12,100,10,90,0,10,2,1,100,4,18,,,,,0,0,0,100,0,0
739,Freezy Frost,15,100,10,90,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
740,Sparkly Swirl,18,120,5,85,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
741,Veevee Volley,1,,20,,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
742,Double Iron Bash,9,60,5,100,0,10,2,45,30,0,0,2,2,,,0,0,0,0,30,0
743,Max Guard,1,,10,,4,7,1,112,,13,0,,,,,0,0,0,0,0,0
744,Dynamax Cannon,16,100,5,100,0,10,3,421,,0,0,,,,,0,0,0,0,0,0
745,Snipe Shot,11,80,15,100,0,10,3,422,,0,0,,,,,0,0,1,0,0,0
746,Jaw Lock,17,80,10,100,0,10,2,423,,0,0,,,,,0,0,0,0,0,0
747,Stuff Cheeks,1,,10,,0,7,1,424,100,2,0,,,,,0,0,0,0,0,100
748,No Retreat,2,,5,,0,7,1,425,100,2,0,,,,,0,0,0,0,0,100
749,Tar Shot,6,,15,100,0,10,1,426,100,5,42,,,,,0,0,0,100,0,100
750,Magic Powder,14,,20,100,0,10,1,427,,13,0,,,,,0,0,0,0,0,0
751,Dragon Darts,16,50,10,100,0,10,2,428,,0,0,2,2,,,0,0,0,0,0,0
752,Teatime,1,,10,,0,14,1,429,,13,0,,,,,0,0,0,0,0,0
753,Octolock,2,,15,100,0,10,1,430,,13,0,,,,,0,0,0,0,0,0
754,Bolt Beak,13,85,10,100,0,10,2,431,,0,0,,,,,0,0,0,0,0,0
755,Fishious Rend,11,85,10,100,0,10,2,431,,0,0,,,,,0,0,0,0,0,0
756,Court Change,1,,10,100,0,12,1,432,,13,0,,,,,0,0,0,0,0,0
757,Max Flare,10,100,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
758,Max Flutterby,7,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
759,Max Lightning,13,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
760,Max Strike,1,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
761,Max Knuckle,2,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
762,Max Phantasm,8,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
763,Max Hailstorm,15,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
764,Max Ooze,4,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
765,Max Geyser,11,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
766,Max Airstream,3,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
767,Max Starfall,18,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
768,Max Wyrmwind,16,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
769,Max Mindstorm,14,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
770,Max Rockfall,6,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
771,Max Quake,5,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
772,Max Darkness,17,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
773,Max Overgrowth,12,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
774,Max Steelspike,9,10,10,,0,2,2,1,,0,0,,,,,0,0,0,0,0,0
775,Clangorous Soul,16,,5,100,0,7,1,433,100,2,0,,,,,0,-33,0,0,0,100
776,Body Press,2,80,10,100,0,10,2,434,,0,0,,,,,0,0,0,0,0,0
777,Decorate,18,,15,,0,10,1,435,100,2,0,,,,,0,0,0,0,0,100
778,Drum Beating,12,80,10,100,0,10,2,71,100,6,0,,,,,0,0,0,0,0,100
779,Snap Trap,12,35,15,100,0,10,2,43,100,4,8,,,5,6,0,0,0,100,0,0
780,Pyro Ball,10,120,5,90,0,10,2,5,10,4,4,,,,,0,0,0,10,0,0
781,Behemoth Blade,9,100,5,100,0,10,2,436,,0,0,,,,,0,0,0,0,0,0
782,Behemoth Bash,9,100,5,100,0,10,2,436,,0,0,,,,,0,0,0,0,0,0
783,Aura Wheel,13,110,10,100,0,10,2,437,100,7,0,,,,,0,0,0,0,0,100
784,Breaking Swipe,16,60,15,100,0,11,2,396,100,6,0,,,,,0,0,0,0,0,100
785,Branch Poke,12,40,40,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
786,Overdrive,13,80,10,100,0,11,3,439,,0,0,,,,,0,0,0,0,0,0
787,Apple Acid,12,80,10,100,0,10,3,440,100,6,0,,,,,0,0,0,0,0,100
788,Grav Apple,12,80,10,100,0,10,2,397,100,6,0,,,,,0,0,0,0,0,100
789,Spirit Break,18,75,15,100,0,10,2,72,100,6,0,,,,,0,0,0,0,0,100
790,Strange Steam,18,90,10,95,0,10,3,77,20,4,6,,,2,5,0,0,0,20,0,0
791,Life Dew,11,,10,,0,13,1,441,,3,0,,,,,0,25,0,0,0,0
792,Obstruct,17,,10,100,4,7,1,442,,13,0,,,,,0,0,0,0,0,0
793,False Surrender,17,80,10,,0,10,2,18,,0,0,,,,,0,0,0,0,0,0
794,Meteor Assault,2,150,5,100,0,10,2,81,,0,0,,,,,0,0,0,0,0,0
795,Eternabeam,16,160,5,90,0,10,3,81,,0,0,,,,,0,0,0,0,0,0
796,Steel Beam,9,140,5,95,0,10,3,420,,0,0,,,,,0,0,0,0,0,0
797,Expanding Force,14,80,10,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
798,Steel Roller,9,130,5,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
799,Scale Shot,16,25,20,90,0,10,2,443,,0,0,2,5,,,0,0,0,0,0,0
800,Meteor Beam,6,120,10,90,0,10,3,1,100,0,0,,,,,0,0,0,100,0,0
801,Shell Side Arm,4,90,10,100,0,10,3,1,20,4,5,,,,,0,0,0,20,0,0
802,Misty Explosion,18,100,5,100,0,9,3,1,,0,0,,,,,0,0,0,0,0,0
803,Grassy Glide,12,70,20,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
804,Rising Voltage,13,70,20,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
805,Terrain Pulse,1,50,10,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
806,Skitter Smack,7,70,10,90,0,10,2,1,100,6,0,,,,,0,0,0,0,0,100
807,Burning Jealousy,10,70,5,100,0,11,3,1,100,4,4,,,,,0,0,0,100,0,0
808,Lash Out,17,75,5,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
809,Poltergeist,8,110,5,90,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
810,Corrosive Gas,4,,40,100,0,9,1,1,,13,0,,,,,0,0,0,0,0,0
811,Coaching,2,,10,,0,13,1,1,100,2,0,,,,,0,0,0,0,0,100
812,Flip Turn,11,60,20,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
813,Triple Axel,15,20,10,90,0,10,2,1,,0,0,3,3,,,0,0,0,0,0,0
814,Dual Wingbeat,3,40,10,90,0,10,2,1,,0,0,2,2,,,0,0,0,0,0,0
815,Scorching Sands,5,70,10,100,0,10,3,1,30,4,4,,,,,0,0,0,30,0,0
816,Jungle Healing,12,,10,,0,13,1,1,,13,0,,,,,0,25,0,0,0,0
817,Wicked Blow,17,80,5,100,0,10,2,1,,0,0,,,,,0,0,6,0,0,0
818,Surging Strikes,11,25,5,100,0,10,2,1,,0,0,3,3,,,0,0,6,0,0,0
819,Thunder Cage,13,80,15,90,0,10,3,1,100,4,8,,,5,6,0,0,0,100,0,0
820,Dragon Energy,16,150,5,100,0,11,3,1,,0,0,,,,,0,0,0,0,0,0
821,Freezing Glare,14,90,10,100,0,10,3,1,10,4,3,,,,,0,0,0,10,0,0
822,Fiery Wrath,17,90,10,100,0,11,3,1,20,0,0,,,,,0,0,0,0,20,0
823,Thunderous Kick,2,90,10,100,0,10,2,1,100,6,0,,,,,0,0,0,0,0,100
824,Glacial Lance,15,130,5,100,0,11,2,1,,0,0,,,,,0,0,0,0,0,0
825,Astral Barrage,8,120,5,100,0,11,3,1,,0,0,,,,,0,0,0,0,0,0
826,Eerie Spell,14,80,5,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
